visitid,zoneid,userid,duration,entryTime,exitTime
1,1,528,88,19/07/2017 07:35,19/07/2017 09:03
2,2,563,23,04/03/2017 02:14,04/03/2017 02:37
3,3,487,75,13/05/2017 04:46,13/05/2017 06:01
4,2,126,65,10/06/2017 05:45,10/06/2017 06:50
5,1,325,11,09/02/2017 17:37,09/02/2017 17:48
6,1,921,76,10/01/2017 18:11,10/01/2017 19:27
7,2,218,16,01/09/2017 01:54,01/09/2017 02:10
8,2,929,35,25/02/2017 10:42,25/02/2017 11:17
9,3,333,69,18/01/2017 18:58,18/01/2017 20:07
10,1,834,81,19/03/2017 12:43,19/03/2017 14:04
11,2,655,33,20/01/2017 09:26,20/01/2017 09:59
12,2,365,66,18/07/2017 08:25,18/07/2017 09:31
13,2,799,58,23/08/2017 16:34,23/08/2017 17:32
14,1,772,69,13/03/2017 05:56,13/03/2017 07:05
15,2,690,57,18/06/2017 13:58,18/06/2017 14:55
16,2,604,85,25/02/2017 10:25,25/02/2017 11:50
17,3,714,32,07/03/2017 18:04,07/03/2017 18:36
18,2,333,5,30/04/2017 23:31,30/04/2017 23:36
19,2,336,29,25/03/2017 12:50,25/03/2017 13:19
20,3,265,64,18/07/2017 07:34,18/07/2017 08:38
21,2,673,12,15/05/2017 11:55,15/05/2017 12:07
22,1,241,85,22/08/2017 03:36,22/08/2017 05:01
23,2,767,53,13/06/2017 18:34,13/06/2017 19:27
24,1,987,14,22/04/2017 21:40,22/04/2017 21:54
25,2,350,59,05/04/2017 06:50,05/04/2017 07:49
26,2,952,20,06/07/2017 05:28,06/07/2017 05:48
27,3,142,87,13/04/2017 03:03,13/04/2017 04:30
28,3,48,50,16/04/2017 04:27,16/04/2017 05:17
29,2,784,46,26/04/2017 13:17,26/04/2017 14:03
30,2,106,47,16/02/2017 05:12,16/02/2017 05:59
31,3,454,70,24/05/2017 13:40,24/05/2017 14:50
32,2,507,19,18/06/2017 19:18,18/06/2017 19:37
33,1,985,23,16/03/2017 17:29,16/03/2017 17:52
34,2,66,46,15/07/2017 09:21,15/07/2017 10:07
35,3,872,57,25/08/2017 10:09,25/08/2017 11:06
36,3,374,62,09/02/2017 08:27,09/02/2017 09:29
37,1,487,48,28/04/2017 23:59,29/04/2017 00:47
38,2,489,20,27/04/2017 23:47,28/04/2017 00:07
39,2,375,46,26/06/2017 19:07,26/06/2017 19:53
40,1,891,80,14/07/2017 09:50,14/07/2017 11:10
41,3,741,54,21/05/2017 09:59,21/05/2017 10:53
42,1,486,23,08/08/2017 17:47,08/08/2017 18:10
43,1,70,11,08/07/2017 15:20,08/07/2017 15:31
44,1,868,71,07/08/2017 20:47,07/08/2017 21:58
45,2,652,11,04/06/2017 16:48,04/06/2017 16:59
46,2,76,45,22/08/2017 18:57,22/08/2017 19:42
47,3,572,66,21/05/2017 22:26,21/05/2017 23:32
48,3,793,10,27/03/2017 00:40,27/03/2017 00:50
49,2,447,72,27/03/2017 04:15,27/03/2017 05:27
50,1,492,75,14/01/2017 08:51,14/01/2017 10:06
51,1,529,74,06/06/2017 12:01,06/06/2017 13:15
52,1,482,58,29/04/2017 16:29,29/04/2017 17:27
53,3,396,85,28/04/2017 03:34,28/04/2017 04:59
54,1,709,6,12/05/2017 10:17,12/05/2017 10:23
55,1,501,83,16/07/2017 08:32,16/07/2017 09:55
56,1,634,33,29/04/2017 06:59,29/04/2017 07:32
57,1,139,52,22/02/2017 22:18,22/02/2017 23:10
58,3,853,69,10/08/2017 16:59,10/08/2017 18:08
59,2,708,85,21/07/2017 21:37,21/07/2017 23:02
60,1,865,28,03/02/2017 13:37,03/02/2017 14:05
61,2,778,77,14/05/2017 08:08,14/05/2017 09:25
62,3,878,29,27/02/2017 11:12,27/02/2017 11:41
63,2,177,52,07/05/2017 11:08,07/05/2017 12:00
64,3,863,37,16/08/2017 23:23,17/08/2017 00:00
65,1,848,30,12/08/2017 12:32,12/08/2017 13:02
66,3,378,47,03/06/2017 07:02,03/06/2017 07:49
67,3,30,68,09/07/2017 01:52,09/07/2017 03:00
68,3,575,4,08/04/2017 03:57,08/04/2017 04:01
69,3,412,2,08/03/2017 03:55,08/03/2017 03:57
70,1,637,53,05/03/2017 22:17,05/03/2017 23:10
71,1,387,45,30/03/2017 14:00,30/03/2017 14:45
72,2,396,23,24/05/2017 19:21,24/05/2017 19:44
73,1,592,38,06/01/2017 17:47,06/01/2017 18:25
74,1,748,57,17/05/2017 23:49,18/05/2017 00:46
75,2,636,67,28/02/2017 04:43,28/02/2017 05:50
76,1,338,2,30/03/2017 11:40,30/03/2017 11:42
77,3,301,68,20/04/2017 04:00,20/04/2017 05:08
78,2,338,22,27/08/2017 11:35,27/08/2017 11:57
79,2,126,15,13/01/2017 17:37,13/01/2017 17:52
80,2,918,66,04/06/2017 04:18,04/06/2017 05:24
81,2,17,37,26/04/2017 01:06,26/04/2017 01:43
82,1,485,86,29/01/2017 02:44,29/01/2017 04:10
83,1,140,44,27/04/2017 02:39,27/04/2017 03:23
84,3,970,20,14/06/2017 00:31,14/06/2017 00:51
85,1,251,81,11/06/2017 21:25,11/06/2017 22:46
86,2,932,80,05/05/2017 10:42,05/05/2017 12:02
87,1,881,41,26/07/2017 05:53,26/07/2017 06:34
88,1,278,15,23/05/2017 05:57,23/05/2017 06:12
89,2,745,76,06/06/2017 08:00,06/06/2017 09:16
90,3,896,28,12/03/2017 16:48,12/03/2017 17:16
91,2,717,15,11/05/2017 09:33,11/05/2017 09:48
92,2,650,73,30/03/2017 12:54,30/03/2017 14:07
93,2,663,62,28/01/2017 05:23,28/01/2017 06:25
94,2,18,55,11/03/2017 06:23,11/03/2017 07:18
95,3,643,86,08/07/2017 05:06,08/07/2017 06:32
96,3,138,87,30/06/2017 19:20,30/06/2017 20:47
97,3,136,3,17/04/2017 05:05,17/04/2017 05:08
98,2,812,55,02/03/2017 00:10,02/03/2017 01:05
99,2,860,54,03/05/2017 05:56,03/05/2017 06:50
100,2,890,86,11/02/2017 23:08,12/02/2017 00:34
101,3,961,65,08/06/2017 18:01,08/06/2017 19:06
102,2,883,75,13/01/2017 07:01,13/01/2017 08:16
103,2,181,73,11/05/2017 06:45,11/05/2017 07:58
104,2,914,55,20/05/2017 12:09,20/05/2017 13:04
105,3,591,50,14/06/2017 01:24,14/06/2017 02:14
106,3,909,47,25/04/2017 07:01,25/04/2017 07:48
107,1,744,58,11/07/2017 09:37,11/07/2017 10:35
108,3,646,44,26/05/2017 16:02,26/05/2017 16:46
